Scenario,GA_Configuration,Run,ROI,Duration
A1_Osnovni,Standardni GA,1,15.48,116.58209168602289
A1_Osnovni,Standardni GA,2,15.48,116.98751314072454
A1_Osnovni,Standardni GA,3,15.48,118.55431300946934
A1_Osnovni,Standardni GA,4,15.48,118.18670192343866
A1_Osnovni,Standardni GA,5,15.48,117.34998173931159
A1_Osnovni,Standardni GA,6,15.48,117.49049446478841
A1_Osnovni,Standardni GA,7,15.48,118.77671283338758
A1_Osnovni,Standardni GA,8,15.48,118.93599089925493
A1_Osnovni,Standardni GA,9,15.48,116.46110691154934
A1_Osnovni,Standardni GA,10,15.48,117.54916561316215
A1_Osnovni,Bez mutacije,1,15.48,116.50448703285603
A1_Osnovni,Bez mutacije,2,15.48,117.95765030880293
A1_Osnovni,Bez mutacije,3,15.48,117.16817270468145
A1_Osnovni,Bez mutacije,4,15.48,120.51568808841199
A1_Osnovni,Bez mutacije,5,15.48,118.74239088260143
A1_Osnovni,Bez mutacije,6,15.48,116.34488330485378
A1_Osnovni,Bez mutacije,7,15.48,119.63981722709754
A1_Osnovni,Bez mutacije,8,15.06,135.94136915103056
A1_Osnovni,Bez mutacije,9,15.06,140.72782613558658
A1_Osnovni,Bez mutacije,10,15.48,117.74770905920141
A1_Osnovni,Bez križanja,1,15.06,138.18999145106986
A1_Osnovni,Bez križanja,2,15.06,138.59721794607054
A1_Osnovni,Bez križanja,3,15.48,117.63013805816503
A1_Osnovni,Bez križanja,4,15.48,117.91353927185996
A1_Osnovni,Bez križanja,5,15.48,118.33562153500381
A1_Osnovni,Bez križanja,6,15.48,119.21286958324154
A1_Osnovni,Bez križanja,7,15.48,117.59844693131834
A1_Osnovni,Bez križanja,8,15.48,119.58535365750649
A1_Osnovni,Bez križanja,9,15.48,117.50311549927727
A1_Osnovni,Bez križanja,10,15.48,118.56911539665072
A1_Osnovni,Više generacija,1,15.48,120.33443742472313
A1_Osnovni,Više generacija,2,15.06,136.53841526303833
A1_Osnovni,Više generacija,3,15.48,119.01813425676777
A1_Osnovni,Više generacija,4,15.48,119.39179762289534
A1_Osnovni,Više generacija,5,15.48,116.93302250130853
A1_Osnovni,Više generacija,6,15.48,117.76376993351279
A1_Osnovni,Više generacija,7,15.48,117.05986183370545
A1_Osnovni,Više generacija,8,15.48,116.75485348105711
A1_Osnovni,Više generacija,9,15.48,119.21226142461015
A1_Osnovni,Više generacija,10,15.48,118.10524222820003
A1_Osnovni,Veća populacija,1,15.48,117.96341712689684
A1_Osnovni,Veća populacija,2,15.48,119.69207069019622
A1_Osnovni,Veća populacija,3,15.48,116.57762791162149
A1_Osnovni,Veća populacija,4,15.48,121.17885259857616
A1_Osnovni,Veća populacija,5,15.48,117.47759807428564
A1_Osnovni,Veća populacija,6,15.48,119.31895472810575
A1_Osnovni,Veća populacija,7,15.48,117.1208184478259
A1_Osnovni,Veća populacija,8,15.48,117.98568372302321
A1_Osnovni,Veća populacija,9,15.48,117.78352098036957
A1_Osnovni,Veća populacija,10,15.48,117.87328824156529
A2_Srednji,Standardni GA,1,63.52,482.2649526775969
A2_Srednji,Standardni GA,2,63.51,466.92053070165616
A2_Srednji,Standardni GA,3,63.86,493.42775356978956
A2_Srednji,Standardni GA,4,61.27,473.5607670222352
A2_Srednji,Standardni GA,5,63.83,494.51754825851077
A2_Srednji,Standardni GA,6,64.19,501.89762966932466
A2_Srednji,Standardni GA,7,62.12,477.75494386185613
A2_Srednji,Standardni GA,8,62.65,454.67235404130594
A2_Srednji,Standardni GA,9,60.410000000000004,479.06701669154796
A2_Srednji,Standardni GA,10,63.81,498.8592258188052
A2_Srednji,Bez mutacije,1,61.83,466.07520808633103
A2_Srednji,Bez mutacije,2,63.11,504.3387729356089
A2_Srednji,Bez mutacije,3,57.37,426.87654375723343
A2_Srednji,Bez mutacije,4,57.17,474.03248286329375
A2_Srednji,Bez mutacije,5,58.7,466.971019360727
A2_Srednji,Bez mutacije,6,57.36,450.1397371524976
A2_Srednji,Bez mutacije,7,61.49,450.3764697055838
A2_Srednji,Bez mutacije,8,56.06,443.0635165659083
A2_Srednji,Bez mutacije,9,59.230000000000004,465.0527240403337
A2_Srednji,Bez mutacije,10,60.68,447.7161907229363
A2_Srednji,Bez križanja,1,59.4,453.74500625584267
A2_Srednji,Bez križanja,2,59.35,463.30518766738174
A2_Srednji,Bez križanja,3,58.480000000000004,497.16170785270265
A2_Srednji,Bez križanja,4,57.81,447.9815222415556
A2_Srednji,Bez križanja,5,57.63,474.1924104350728
A2_Srednji,Bez križanja,6,58.410000000000004,423.5800493693269
A2_Srednji,Bez križanja,7,59.76,469.9066000498943
A2_Srednji,Bez križanja,8,58.31,466.2913421718499
A2_Srednji,Bez križanja,9,56.55,485.0207679260258
A2_Srednji,Bez križanja,10,62.25,479.9750761181759
A2_Srednji,Više generacija,1,63.08,481.12249976446685
A2_Srednji,Više generacija,2,62.87,509.471570850472
A2_Srednji,Više generacija,3,63.02,510.5692959642714
A2_Srednji,Više generacija,4,61.98,472.89957989596695
A2_Srednji,Više generacija,5,61.81,463.06489878090076
A2_Srednji,Više generacija,6,64.21,497.28847111481207
A2_Srednji,Više generacija,7,63.59,503.3302965802687
A2_Srednji,Više generacija,8,63.23,479.3029921130541
A2_Srednji,Više generacija,9,63.27,493.39364804765324
A2_Srednji,Više generacija,10,63.44,484.43941362789576
A2_Srednji,Veća populacija,1,65.3,489.6283875116091
A2_Srednji,Veća populacija,2,64.46,460.9416964073818
A2_Srednji,Veća populacija,3,63.95,504.82848369858664
A2_Srednji,Veća populacija,4,63.81,500.5573025800821
A2_Srednji,Veća populacija,5,64.1,502.81388961195205
A2_Srednji,Veća populacija,6,63.68,463.4840578306437
A2_Srednji,Veća populacija,7,63.86,490.3263717733678
A2_Srednji,Veća populacija,8,64.49,491.6783411462792
A2_Srednji,Veća populacija,9,63.730000000000004,504.04479783905117
A2_Srednji,Veća populacija,10,63.980000000000004,495.10350558457657
A3_Slozeni,Standardni GA,1,113.0,939.3618346558545
A3_Slozeni,Standardni GA,2,113.1,979.908942983409
A3_Slozeni,Standardni GA,3,108.19,913.0994705659454
A3_Slozeni,Standardni GA,4,110.38,970.5086715760425
A3_Slozeni,Standardni GA,5,108.88,894.583317400255
A3_Slozeni,Standardni GA,6,109.39,950.9637592751006
A3_Slozeni,Standardni GA,7,113.84,969.5396369967009
A3_Slozeni,Standardni GA,8,113.66,947.3174863179769
A3_Slozeni,Standardni GA,9,111.63,1014.0472620364886
A3_Slozeni,Standardni GA,10,112.42,989.7443596874367
A3_Slozeni,Bez mutacije,1,108.3,903.7847021966719
A3_Slozeni,Bez mutacije,2,96.27,873.6428522682207
A3_Slozeni,Bez mutacije,3,108.39,908.4531361150482
A3_Slozeni,Bez mutacije,4,101.02,898.1421205449469
A3_Slozeni,Bez mutacije,5,103.53,891.215476914298
A3_Slozeni,Bez mutacije,6,110.55,986.0592150607008
A3_Slozeni,Bez mutacije,7,103.78,907.4783758563858
A3_Slozeni,Bez mutacije,8,103.98,876.9945804840903
A3_Slozeni,Bez mutacije,9,103.47,876.59993624827
A3_Slozeni,Bez mutacije,10,102.5,935.8368429180582
A3_Slozeni,Bez križanja,1,106.14,979.4879316522041
A3_Slozeni,Bez križanja,2,107.14,958.9067386753635
A3_Slozeni,Bez križanja,3,106.08,947.270242089478
A3_Slozeni,Bez križanja,4,101.99,865.3980188083998
A3_Slozeni,Bez križanja,5,107.19,912.9238878720248
A3_Slozeni,Bez križanja,6,107.56,932.0825016703571
A3_Slozeni,Bez križanja,7,108.67999999999999,1000.2019438571574
A3_Slozeni,Bez križanja,8,103.59,927.368030381796
A3_Slozeni,Bez križanja,9,106.49,878.9459575352771
A3_Slozeni,Bez križanja,10,108.28,915.9537562692544
A3_Slozeni,Više generacija,1,110.78999999999999,900.4664217366335
A3_Slozeni,Više generacija,2,114.03,947.0984479888939
A3_Slozeni,Više generacija,3,111.25,940.3680290355821
A3_Slozeni,Više generacija,4,111.62,929.7804379298249
A3_Slozeni,Više generacija,5,110.99,962.9267688963486
A3_Slozeni,Više generacija,6,111.36,913.826199608538
A3_Slozeni,Više generacija,7,113.9,993.9734712738334
A3_Slozeni,Više generacija,8,113.26,955.9709324971104
A3_Slozeni,Više generacija,9,114.5,968.9225391894824
A3_Slozeni,Više generacija,10,113.27,950.4178162080361
A3_Slozeni,Veća populacija,1,114.99,992.3673553762756
A3_Slozeni,Veća populacija,2,115.82,972.402119661383
A3_Slozeni,Veća populacija,3,115.49,972.0210129623316
A3_Slozeni,Veća populacija,4,115.08,964.4249611430513
A3_Slozeni,Veća populacija,5,116.51,1011.4074731713322
A3_Slozeni,Veća populacija,6,114.06,958.2972344072793
A3_Slozeni,Veća populacija,7,112.67,959.7525472600018
A3_Slozeni,Veća populacija,8,115.84,967.5292138227418
A3_Slozeni,Veća populacija,9,116.87,989.417500722284
A3_Slozeni,Veća populacija,10,114.36,995.1394421439975
B1_Restriktivan,Standardni GA,1,40.660000000000004,330.0521075819216
B1_Restriktivan,Standardni GA,2,40.47,307.01466206592715
B1_Restriktivan,Standardni GA,3,37.81,332.21704730520753
B1_Restriktivan,Standardni GA,4,38.85,311.4093410992833
B1_Restriktivan,Standardni GA,5,37.11,291.7327312335598
B1_Restriktivan,Standardni GA,6,36.31,289.56200238396525
B1_Restriktivan,Standardni GA,7,39.58,318.5263328450848
B1_Restriktivan,Standardni GA,8,38.56,292.47683741311846
B1_Restriktivan,Standardni GA,9,40.64,322.3562297891821
B1_Restriktivan,Standardni GA,10,39.86,298.74872862488877
B1_Restriktivan,Bez mutacije,1,32.07,267.1790408856492
B1_Restriktivan,Bez mutacije,2,35.38,287.6385892185037
B1_Restriktivan,Bez mutacije,3,33.43,302.684227306866
B1_Restriktivan,Bez mutacije,4,33.93,309.37070581024733
B1_Restriktivan,Bez mutacije,5,35.32,268.18114455912223
B1_Restriktivan,Bez mutacije,6,34.58,299.6081511627655
B1_Restriktivan,Bez mutacije,7,33.68,263.85867491196336
B1_Restriktivan,Bez mutacije,8,34.97,328.26668508930305
B1_Restriktivan,Bez mutacije,9,37.45,315.8729596691294
B1_Restriktivan,Bez mutacije,10,36.59,333.9572335042085
B1_Restriktivan,Bez križanja,1,37.7,305.2006710199189
B1_Restriktivan,Bez križanja,2,34.31,301.98156030830364
B1_Restriktivan,Bez križanja,3,33.84,309.0030965787716
B1_Restriktivan,Bez križanja,4,36.07,305.2380087941667
B1_Restriktivan,Bez križanja,5,37.52,322.8051588935454
B1_Restriktivan,Bez križanja,6,37.0,296.8169789838324
B1_Restriktivan,Bez križanja,7,35.26,291.9649500039093
B1_Restriktivan,Bez križanja,8,36.49,323.7579338671212
B1_Restriktivan,Bez križanja,9,38.42,292.2619453984428
B1_Restriktivan,Bez križanja,10,36.75,313.5186773976023
B1_Restriktivan,Više generacija,1,39.63,309.02386744100875
B1_Restriktivan,Više generacija,2,41.11,338.2041470061363
B1_Restriktivan,Više generacija,3,40.3,299.62395139552194
B1_Restriktivan,Više generacija,4,40.61,331.0426823741845
B1_Restriktivan,Više generacija,5,40.09,325.98564882534856
B1_Restriktivan,Više generacija,6,40.83,305.3457673298975
B1_Restriktivan,Više generacija,7,40.01,325.39084066000754
B1_Restriktivan,Više generacija,8,39.89,338.7103212502503
B1_Restriktivan,Više generacija,9,41.63,315.6555202229616
B1_Restriktivan,Više generacija,10,40.71,324.62083203050275
B1_Restriktivan,Veća populacija,1,41.51,324.1641057428492
B1_Restriktivan,Veća populacija,2,42.55,345.3231154610919
B1_Restriktivan,Veća populacija,3,42.22,329.31125944452816
B1_Restriktivan,Veća populacija,4,40.59,336.9918454971732
B1_Restriktivan,Veća populacija,5,42.08,320.8758207596264
B1_Restriktivan,Veća populacija,6,41.0,357.1026671939573
B1_Restriktivan,Veća populacija,7,42.22,328.8552061442819
B1_Restriktivan,Veća populacija,8,42.57,356.03130403665733
B1_Restriktivan,Veća populacija,9,41.32,318.51886475610297
B1_Restriktivan,Veća populacija,10,42.03,330.1098833903119
B3_Labav,Standardni GA,1,82.06,742.2376255329447
B3_Labav,Standardni GA,2,82.0,716.8796980597419
B3_Labav,Standardni GA,3,81.17,718.5323084150767
B3_Labav,Standardni GA,4,80.28,681.5331283221605
B3_Labav,Standardni GA,5,81.92,711.8118230530193
B3_Labav,Standardni GA,6,82.64,740.3361767934201
B3_Labav,Standardni GA,7,82.3,734.9478169381701
B3_Labav,Standardni GA,8,82.64,719.0442409636587
B3_Labav,Standardni GA,9,82.69,733.4555277735942
B3_Labav,Standardni GA,10,81.39,693.9414608150249
B3_Labav,Bez mutacije,1,81.56,715.0026769185059
B3_Labav,Bez mutacije,2,80.97,721.6070117325866
B3_Labav,Bez mutacije,3,80.1,688.1163030329388
B3_Labav,Bez mutacije,4,79.9,679.0097999419734
B3_Labav,Bez mutacije,5,81.92,708.6668976343379
B3_Labav,Bez mutacije,6,78.28,695.790540704547
B3_Labav,Bez mutacije,7,77.6,712.6565382943475
B3_Labav,Bez mutacije,8,79.98,717.7273335082921
B3_Labav,Bez mutacije,9,81.89,709.8948479685632
B3_Labav,Bez mutacije,10,79.97,710.9135488259111
B3_Labav,Bez križanja,1,79.11,734.5181313761782
B3_Labav,Bez križanja,2,78.97,724.7934031153513
B3_Labav,Bez križanja,3,78.91,736.0871370377859
B3_Labav,Bez križanja,4,77.38,676.4844267989915
B3_Labav,Bez križanja,5,77.82,698.0018473541255
B3_Labav,Bez križanja,6,77.94,703.2780127302576
B3_Labav,Bez križanja,7,78.15,687.0043442887494
B3_Labav,Bez križanja,8,78.84,688.2643926138962
B3_Labav,Bez križanja,9,77.27,687.6236998702645
B3_Labav,Bez križanja,10,76.68,713.4560069301789
B3_Labav,Više generacija,1,82.28,714.9016410498554
B3_Labav,Više generacija,2,81.93,720.4359519504931
B3_Labav,Više generacija,3,83.72,728.9549932938801
B3_Labav,Više generacija,4,82.98,719.4484204289364
B3_Labav,Više generacija,5,82.81,708.837626561892
B3_Labav,Više generacija,6,81.79,716.4581470539331
B3_Labav,Više generacija,7,82.35,749.1782135108525
B3_Labav,Više generacija,8,81.48,704.6772644783358
B3_Labav,Više generacija,9,83.02,712.7063044800402
B3_Labav,Više generacija,10,82.6,714.7222851491046
B3_Labav,Veća populacija,1,83.14,735.2300171179892
B3_Labav,Veća populacija,2,81.73,707.6936815148104
B3_Labav,Veća populacija,3,83.25,734.7337062443526
B3_Labav,Veća populacija,4,82.89,711.1485718561581
B3_Labav,Veća populacija,5,82.58,695.1861152432665
B3_Labav,Veća populacija,6,83.7,732.8509523731769
B3_Labav,Veća populacija,7,83.24,721.9137950535085
B3_Labav,Veća populacija,8,83.25,714.181537604565
B3_Labav,Veća populacija,9,83.23,738.9573732348198
B3_Labav,Veća populacija,10,82.7,709.8602758633892
