ROI,Trajanje
104.76,648.1924296060039
104.66,644.9026496858253
104.37,643.1415047788375
104.26,642.0559809754097
104.14,629.2739582587408
102.98,623.694080641234
102.83,615.8626012079825
102.5,614.1206356169469
102.13,611.7385502662179
101.75,611.2644312297316
101.28,602.1537115358207
100.82000000000001,598.3285137614353
100.44,597.7291165667608
100.14,596.085418988302
99.74,595.1031283409466
99.56,593.8152696716921
99.54,593.506575374099
99.27,584.7904035718187
98.6,583.1099630536291
98.37,581.4975147329274
98.02,580.6999945995434
97.92,576.4409460380049
97.18,572.7233602300461
97.05,569.7335172759185
96.88,569.6932821264912
96.82000000000001,567.3802720216155
96.37,566.316375509386
96.21000000000001,565.6426554530767
96.19,564.8715734104159
96.03,563.5891723246323
95.68,561.97799535332
95.53,561.6742215010287
95.43,560.6416937830952
95.41,560.2599216870963
94.95,559.936233128542
94.94,558.0002815235106
94.82000000000001,556.0387043778834
94.66,553.3751691491389
94.56,551.9910451319096
94.48,548.6127288683335
93.87,547.603240709305
93.64,545.4692557335169
93.29,545.2026253391383
93.19,544.3112342539127
92.61,541.9839184711905
92.58,540.493223373408
92.39,539.2872725837512
92.32000000000001,536.184719654715
92.24,534.2763519657711
92.09,532.5973412725219
91.48,530.0200871626445
91.3,529.3113557857166
91.15,529.25945353509
90.74,528.1970364230048
90.24,526.2809719422182
90.23,522.2662022508637
89.99,521.8816267798685
89.93,519.0239402337581
89.85,517.3360678538942
89.75,516.7389455046718
89.4,514.9352941350421
89.1,513.6629560537898
88.91,511.9184850663016
88.47,511.85693476160566
88.33,510.68604550895805
88.21000000000001,510.4774990411032
88.11,510.1283939385756
88.01,508.9837520360938
87.92,507.92176127984317
87.84,506.59795326204227
87.76,506.36809153859843
87.7,505.1258002678382
87.66,503.8653645403812
87.55,501.79556952015656
87.48,501.7413158844811
87.36,500.28369160681456
87.08,500.1115813040535
86.87,499.6350073075885
86.82000000000001,499.45905354310526
86.68,499.21104091785315
86.64,498.42739994118006
86.53,494.06436908720787
85.76,492.7564924189682
85.62,490.110394117914
85.45,489.844854121073
85.37,489.51947570104414
85.31,488.723533737523
85.27,485.85000637191894
85.1,483.76658291287896
84.98,483.3219207009876
84.43,482.4975160297953
84.21,481.39289728513677
84.07000000000001,479.61654092364785
83.94,477.782335969889
83.73,477.31968073674966
83.28,474.0497628036452
83.04,472.4347711922523
82.89,471.1937234032762
82.88,468.88548156962526
82.53,467.0290703678649
82.39,466.4339994303824
82.18,465.74094495925897
81.8,465.20436902020293
81.59,464.6055054345226
81.35,460.2532632092114
80.79,457.8575579869678
80.78,456.99151360012183
80.66,455.87744438790565
80.44,452.8013295702503
79.95,452.18901589413474
79.94,451.9022810285241
79.8,448.159695011335
79.35,448.0646791339448
79.19,446.03888823557804
78.85,445.70961505152064
78.57000000000001,445.59091491294964
78.56,444.4439343304361
78.45,443.86014028285774
78.34,441.3712899430165
78.21,439.70358239269524
78.07000000000001,438.98828232827736
77.93,437.5824799643033
77.84,437.23362135190723
77.64,435.9123495006635
77.57000000000001,434.88352860372817
77.31,434.7105658180017
77.3,432.9796619610004
77.09,432.4253348154197
77.07000000000001,432.4005106768436
76.8,431.38424302782596
76.62,431.12704491284416
76.24,429.63225603819757
76.22,429.0718356950002
76.12,427.2446661257863
75.98,426.7314317729844
75.84,424.39997134678254
75.75,420.83111881955983
75.26,420.36720268209575
75.25,418.9181840138737
75.14,418.5981347089931
74.6,417.9022696687746
74.58,417.8381716594039
74.34,416.11126163742114
74.3,415.07769595238415
74.24,414.55875114856457
73.97,413.9291067969599
73.87,412.3543446468464
73.53,409.82298136606425
73.52,409.5984217206566
73.42,409.43247383844135
73.39,409.1956722904616
73.25,408.30486154391014
73.16,405.6946963583502
73.03,405.11174512567925
72.75,403.6503445391711
72.62,401.9105851726652
72.42,401.8195597377182
72.24,400.6858151638428
72.02,399.7843579247638
71.63,399.20034179090294
71.47,398.172475873784
71.36,397.6922937795646
71.3,395.3948976373628
71.02,394.37001613144196
70.94,392.6878023072804
70.93,392.0749158796496
70.66,391.18937668372075
70.55,391.0042293023296
70.53,390.75774036018754
70.52,390.1083151947332
70.41,389.64011821863767
70.4,388.4420959475574
70.39,388.31009942848846
70.14,386.2891005516877
70.04,386.1726737495921
69.79,384.94813765222995
69.64,384.86841795430223
69.44,384.5583026597277
69.41,384.42189059982184
69.12,383.87672124378884
69.03,381.34881504864404
68.8,379.81754124946025
68.71000000000001,378.3684782040769
68.44,377.4874853229318
68.31,376.4676905372621
68.1,374.35864664024535
68.05,373.69612386724606
67.92,373.3236722551927
67.9,371.3386787291711
67.54,369.42107866274614
67.19,369.40183775573723
66.93,368.585629891624
66.57000000000001,368.03220196381767
66.42,366.8365350443418
66.28,365.537335064378
66.21000000000001,362.43048398625854
66.08,362.135191139432
65.88,362.01313671367757
65.82000000000001,359.90024620709477
65.72,358.9892001728698
65.6,358.73996869749243
65.22,356.409624622719
65.12,356.01576657429547
65.11,355.7504061713781
65.09,355.66535202070634
65.08,355.63567907328724
64.96000000000001,354.89667868284596
64.93,354.5196119009724
64.71,354.2114954914086
64.58,353.75095047077184
64.52,352.65440401678273
64.31,352.31057908600553
64.3,351.87924464861663
64.22,351.35379413246216
64.0,350.3930589664957
63.74,348.26816860560155
63.61,348.0519524743556
63.58,347.34822277460574
63.22,345.00346763399017
63.13,344.22167441752293
63.06,344.0572918682421
63.0,343.3504651625846
62.99,343.26226870392816
62.85,342.55811948226534
62.84,342.07413387181657
62.82,341.3351493985676
62.61,340.095516360659
62.46,339.8017601584415
62.25,338.9031076637915
62.1,336.6916031703415
61.76,336.31531267486474
61.68,335.8375818594273
61.5,334.66895546643224
61.370000000000005,334.1255273888839
61.230000000000004,333.6122735198744
60.99,333.46500784683127
60.96,333.3839657891458
60.92,332.84164752892013
60.86,332.11351981610363
60.77,329.1958505707538
60.61,327.5879495393285
60.39,327.586386576575
60.26,326.32871144628
60.01,324.2669923661469
59.87,323.666452694313
59.63,323.4769360644603
59.47,320.25542842627374
59.28,320.01747784565373
59.14,319.9490206762868
59.13,319.4799467459879
58.870000000000005,318.2285802440619
58.79,318.01854034866193
58.36,315.83112071043075
58.01,313.27975119201056
57.980000000000004,311.3537090055842
57.78,310.5806475610461
57.38,308.17650039962587
57.24,307.650178959804
57.050000000000004,306.69163035284527
56.85,306.3711064184449
56.81,305.7943797805758
56.64,305.25756138010854
56.62,303.8413757462873
55.94,303.44942554658303
55.89,302.4094117833519
55.69,298.6651295070562
55.480000000000004,298.4691026782672
55.32,298.41956523566864
55.29,297.78936962065563
55.21,297.66077905157084
55.160000000000004,297.48271344632775
55.15,296.3244766016064
55.1,296.04352092085935
54.96,295.80001002672924
54.910000000000004,295.70669067696434
54.81,293.62886111073453
54.62,292.18705516923626
54.4,291.6366589382895
54.26,291.0180845743833
54.02,289.8419302425568
53.99,288.51495539519453
53.87,288.21774995054477
53.52,287.5441898184886
53.33,287.37928348315745
53.09,284.73464634876973
53.06,283.19754721496747
52.96,282.5179364898141
52.79,281.9379935087318
52.63,281.27824993773646
52.55,280.1978461739261
52.49,278.67777526573036
52.3,278.43905009732555
52.1,277.46602886552364
51.96,277.39496377050364
51.9,274.9326400095295
51.76,273.95054209609395
51.37,273.24484787246524
51.22,272.88697761087593
51.02,272.82800961204924
50.730000000000004,271.7364037994391
50.71,269.4703556387524
50.46,269.06515663593086
50.43,269.0149548022177
50.4,267.2541939817113
50.17,265.285983495757
49.980000000000004,265.17328243849084
49.92,264.3667816093816
49.87,263.9506885181052
49.7,262.5484385100128
49.67,262.305645394889
49.36,262.15309603270356
49.28,260.4899343209563
48.97,259.73884862685617
48.93,259.4961766466513
48.88,259.30016048508355
48.83,258.5090008499769
48.67,257.98062628610364
48.4,257.10916570695457
48.14,256.72192120205165
48.09,255.5975427887101
48.08,255.23268569214045
48.04,254.62176287365077
47.88,254.1067314453812
47.8,253.51728331726355
47.78,252.32207804579505
47.58,250.6933690296324
47.51,250.61407654534688
47.32,249.23667337299582
47.08,249.04355815266408
47.07,248.06075788392286
47.05,247.51952373673555
46.95,246.67366287689075
46.910000000000004,246.42385038724856
46.74,245.0641288424531
46.7,244.73930724059036
46.31,242.51885462566847
45.52,241.5262470830287
45.42,239.95756369340168
45.22,238.63782031915719
45.18,238.3637944651398
45.160000000000004,237.75173911145123
44.980000000000004,236.07445828053005
44.81,234.45159898447687
44.69,232.70728656262003
44.45,232.07465639389727
44.14,229.73220725799027
44.08,228.8611960670412
43.7,228.67011250253026
43.43,228.5381291490907
43.29,227.98771254565517
43.19,227.9855422663435
43.06,227.19205165763037
43.03,227.03735387534238
42.86,225.82544222977012
42.82,225.11154939024954
42.8,222.64396068671013
42.6,221.49896437824776
42.09,218.76850593256506
41.83,216.72104922456106
41.480000000000004,214.47173729943202
41.2,214.20757889494095
40.69,213.79725886193057
40.44,211.96641586146646
40.24,208.65984978826896
40.0,208.28521907540005
39.94,207.8806451350397
39.67,207.74078185417352
39.63,207.27712335567503
39.61,205.8581551486089
39.47,205.309067836524
39.45,204.40597887144676
39.410000000000004,203.29508641467862
39.19,201.97236221125652
39.1,201.00466660407056
38.6,200.13586876841367
38.33,199.7873400304647
37.99,198.43078644857215
37.82,198.28523030746857
37.78,197.30379223853757
37.620000000000005,194.28531406767178
37.33,193.81421213538903
37.32,192.26513298438104
37.03,191.9700154972722
37.01,189.7557952130668
36.79,189.5708691820334
36.58,188.58178770729435
36.53,188.5148155005411
36.51,188.3180701016421
36.44,188.11475862654476
36.24,186.37515701534033
36.22,186.32553983922443
35.79,186.0464816392201
35.37,184.34669215217332
35.160000000000004,183.06363307424306
35.0,182.52947715364394
34.96,180.11043276013862
34.74,179.13459031205713
34.7,179.00292464647907
34.65,178.86558587005337
34.55,178.09940358141864
34.44,177.47722866970267
34.410000000000004,177.1608441554755
34.35,175.17502655238673
33.910000000000004,174.81951924261736
33.82,173.4222759501554
33.6,172.72664986097735
33.56,170.65584770250763
32.49,169.06361741575176
32.34,165.21777699531356
32.03,163.8951861910561
31.990000000000002,162.91666203137962
31.77,161.7780240988862
31.73,161.57594771923007
31.47,160.49699150839422
31.46,160.12064393763762
31.07,159.95474968791245
30.94,157.33077866102883
30.0,156.4555917225356
29.85,153.20944814996486
29.62,148.2706671395306
29.11,147.2954927254176
28.97,147.22965489545226
28.85,145.6033592747347
28.580000000000002,145.03139085626594
28.45,144.25923808500656
26.96,139.50139567861405
26.740000000000002,138.99433050782244
26.7,138.7294052509512
26.61,138.54799744826377
26.490000000000002,133.29869556643064
24.080000000000002,123.79888251258659
23.990000000000002,122.27278098339065
23.73,121.61583729940648
23.47,118.8335310459154
21.11,106.7280215532879
